#title                                      0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16
MTowerObjectTypeStepBasement,               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
MTowerObjectTypeStepAbsorb,                 0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
MTowerObjectTypeStepDisposable,             0    0    0    0    0    0    0    0    0    0    0  400  100  100    0  100    0
MTowerObjectTypeStepDrift,                  0    0    0    0    0    0    0    0    0    0    0    0  100  100    0  100  150
MTowerObjectTypeStepMoveLeft,               0    0    0    0    0    0    0    0    0   50   50    0    0   50    0   50   50
MTowerObjectTypeStepMoveRight,              0    0    0    0    0    0    0    0    0   50   50    0    0   50    0   50   50
MTowerObjectTypeStepMovingWalkwayLeft,      0    0    0    0    0    0  100  100  100    0   50    0    0  100    0   50    0
MTowerObjectTypeStepMovingWalkwayRight,     0    0    0    0    0    0  100  100  100    0   50    0    0  100    0   50    0
MTowerObjectTypeStepPatrolHorizontal,       0    0    0  100    0  100    0    0  100    0   50    0    0   50    0   50    0
MTowerObjectTypeStepPatrolVertical,         0    0    0    0  100  100    0    0  100    0   50    0    0   50    0   50    0
MTowerObjectTypeStepPulse,                  0    0    0    0    0    0    0    0    0    0    0    0    0    0  300  100  150
MTowerObjectTypeStepSpring,                 0    0  200  100    0    0    0  100    0    0  100    0  100  100    0  100   50
MTowerObjectTypeStepSpringChargeAuto,       0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
MTowerObjectTypeStepSteady,              1000 1000  800  800  900  800  800  700  600  900  600  600  700  300  700  300  550
#end
